Nazwa kategorii,Ilość bezpośrednich artykułów,Ilość bezpośrednich subkategorii,Ilość subkategorii ,Ilość artykułów,Liczba wersji językowych,Liczba wyświetleń strony kategorii w dniach (01-01-2019 do 01-08-2019),Liczba wyświetleń artykułów 11.08.2019Suma punktów
U_izradi,_Bosna_i_Hercegovina,6,3,6,2972,27,134,3,3151
Zimski_športovi,8,8,143,1151,0,42,1,1353
SSSR_u_Drugom_svjetskom_ratu,35,3,3,44,40,369,1,495
Tenkovi_u_Drugom_svjetskom_ratu,7,5,5,78,34,739,1,869
Znanost_i_tehnologija_u_SSSR-u,49,8,17,364,51,192,2,683
Njemačko_oružje_u_Drugom_svjetskom_ratu,15,2,2,33,0,1203,3,1258
Hokej_na_ledu,10,8,64,642,69,132,1,926
Biokemija,24,6,574,7619,112,393,1,8729
Kemijske_tvari,10,8,641,8344,94,347,1,9445
Periodni_sustav_elemenata,27,1,57,657,80,329,1,1152
Ruski_federalni_subjekti,10,14,106,808,82,136,1,1157
Ruski_savezni_okruzi,8,7,96,795,69,90,1,1066
Sibir,40,6,32,211,80,210,1,580
Gradovi_u_Rusiji,312,2,6,145,135,444,1,1045
Osmansko_Carstvo,87,9,14,289,95,370,3,867
Životopisi,_Turska,15,5,17,181,27,154,2,401
Domaće_životinje,26,3,5,83,110,410,11,648
Male_mačke,31,2,2,28,29,149,1,242
Kralježnjaci,11,7,4512,44088,109,297,3,49027
Bilateralne_životinje,5,3,4660,44616,21,103,3,49411
Viši_sisavci,24,11,4152,42236,28,183,3,46637
Morski_sisavci,9,2,6,65,41,224,1,348
Međunarodna_nogometna_natjecanja,58,10,30,373,41,453,1,966
Svjetska_prvenstva,54,15,41,805,64,240,6,1225
Krasnojarski_kraj,22,2,2,14,65,99,2,206
Ruski_autonomni_okruzi,1,9,9,49,53,74,2,197
Vojna_povijest_po_državama,0,30,242,3545,61,193,2,4073
Hrvatska_filozofija,11,1,3,139,2,107,1,264
Igre,44,10,3206,22370,131,489,7,26257
Prehrana,57,12,68,1110,94,520,6,1867
Područja,43,5,508,9853,109,230,1,10749
Etnologija,31,10,2454,21852,95,210,2,24654
Ratna_vještina,59,11,636,8309,3,393,2,9413
Kategorije,0,11,19442,192220,108,585,7,212373
Nacionalni_parkovi_po_državama,5,15,17,194,55,97,1,384
Nacionalni_parkovi_u_Europi,25,6,8,68,31,294,3,435
Parkovi_u_Hrvatskoj,29,2,4,45,16,179,1,276
Turizam_u_Hrvatskoj,28,8,36,889,30,212,1,1204
Elektrotehnika,114,7,31,497,81,689,1,1420
Hokej_na_ledu_u_Švedskoj,2,2,2,16,35,69,1,127
Klubovi_hokeja_na_ledu,10,10,14,168,46,148,3,399
Švedski_športski_klubovi,0,2,3,20,0,36,0,61
Kontinenti,12,9,10610,119774,206,1443,3,132057
Ihtiologija,8,2,178,625,62,125,3,1003
Morski_organizmi,6,2,180,636,2,164,3,993
Čeljustouste,2,1,177,619,0,58,3,860
Zastave,82,7,9,269,114,283,1,765
Tenis,27,8,43,385,104,268,1,836
Opera,42,3,6,234,86,210,1,582
Pjevači,76,7,85,1928,163,643,3,2905
Arheologija,36,13,122,1848,146,333,10,2508
Treneri,10,6,77,882,68,125,5,1173
Proricanje,20,2,3,80,49,157,2,313
Hrvatski_treneri,6,6,10,331,26,159,2,540
Nogometni_treneri_po_državama,0,22,25,593,59,362,2,1063
Šah_po_državama,0,21,40,218,39,79,2,399
Britanska_književnost,81,8,25,429,76,273,1,893
Književna_djela_po_autoru,0,12,22,212,34,83,1,364
Kriminalistički_romani,15,1,10,108,29,218,1,382
Nobelova_nagrada,11,7,13,570,124,326,3,1054
U_izradi,_Životopisi,101,30,106,5091,77,473,1,5879
Norveški_umjetnici,7,2,8,76,48,106,2,249
Španjolska_književnost,10,2,2,29,70,255,1,369
Španjolski_umjetnici,1,5,10,102,62,262,7,449
Rukomet,6,12,214,1974,69,188,1,2464
Rukomet_po_državama,0,41,181,1620,43,72,1,1958
Animirane_televizijske_serije,81,8,51,451,64,532,1,1188
Japanska_umjetnost,10,5,53,465,58,168,1,760
Životopisi,_Srbija,52,14,93,1520,78,273,1,2031
Politika_Izraela,10,1,3,14,72,128,3,231
Životopisi,_Izrael,16,6,13,63,74,166,3,341
Razdvojba,6982,1,1,130,182,2464,1,9761
Japan,31,16,147,1555,210,379,2,2340
Povijest_Azije,6,31,213,3106,115,153,1,3625
Likovna_umjetnost_po_državama,0,3,35,888,7,104,1,1038
Novi_vijek,26,10,81,1291,79,232,2,1721
Kategorizacija_Wikipedije,0,9,19442,192220,50,271,7,211999
Filozofske_discipline,2,11,1025,34209,78,277,7,35609
Glazbeni_sastavi_po_državama,0,32,183,2347,77,394,1,3034
Biomolekule,40,6,20,283,69,227,1,646
Panamerička_prvenstva,5,1,2,10,0,46,0,64
Ekologija,166,14,63,908,134,601,3,1889
Povijest_Egipta,27,5,31,545,98,187,1,894
Stari_vijek,18,15,288,3941,110,241,2,4615
Nagrade,50,13,153,3439,62,221,1,3939
Međunarodne_organizacije,120,6,270,3422,135,2109,1,6063
Američki_športski_klubovi,4,4,7,138,33,76,2,264
Hokej_na_ledu_u_SAD-u,22,3,5,141,39,89,1,300
Hokej_na_ledu_u_Kanadi,8,3,4,152,40,200,1,408
Kanadski_športski_klubovi,1,2,4,34,22,46,1,110
Kategorije_po_državama,1,150,10403,116090,114,1132,1,127891
Austrija,49,13,145,1920,185,349,2,2663
Italija,37,18,422,5705,236,377,6,6801
Zemljopis_Japana,17,4,9,164,93,159,4,450
Slovenija,16,12,573,7468,148,236,2,8455
Grčka,22,13,155,1555,186,348,8,2287
Nizozemska,41,13,97,779,191,367,3,1491
Koreja,2,5,67,254,119,146,1,594
Češka,46,13,119,1167,172,372,4,1893
Rumunjska,20,12,87,1297,174,206,1,1797
Zemljopis_Rumunjske,27,8,23,518,90,139,5,810
Ukrajina,32,15,165,2239,190,333,1,2975
Politika_Francuske,15,1,13,139,88,115,2,373
Planetologija,15,3,30,487,83,189,2,809
Kanada,30,10,113,1330,202,202,4,1891
Španjolska,25,12,184,1978,232,408,1,2840
Poljska,33,15,114,780,227,304,2,1475
Biolozi_po_državama,0,7,11,181,69,110,1,379
Politika_Bosne_i_Hercegovine,36,7,295,7578,45,113,3,8077
Bosanskohercegovačka_umjetnost,2,5,89,1344,16,73,1,1530
Bosanskohercegovačka_glazba,5,3,20,265,35,110,2,440
Životopisi,_Austrija,60,7,40,563,111,201,4,986
Izrael,44,15,63,455,179,395,1,1152
Znanost_i_tehnologija_u_Njemačkoj,27,5,24,431,53,145,22,707
Mađarska,41,17,198,3607,194,388,1,4446
Ekstremni_športovi,24,1,7,242,38,260,2,574
Hobi,14,4,11,279,89,347,2,746
Planine,17,5,68,920,170,292,1,1473
Bosna_i_Hercegovina_u_Drugom_svjetskom_ratu,43,2,31,511,8,326,1,922
Drugi_svjetski_rat,70,10,121,1832,136,491,4,2664
Hrvatska_u_Drugom_svjetskom_ratu,70,5,35,758,14,753,2,1637
Ornitologija,15,1,139,877,86,157,3,1278
Dobitnici_Oscara,33,13,16,460,63,1072,2,1659
Nagrađeni_filmovi,0,13,14,195,41,195,1,459
Kineska_filozofija,4,4,4,41,69,114,8,244
Bugarski_športaši,22,5,6,56,56,150,1,296
Hokejaši_na_ledu_po_državama,0,16,16,309,36,93,1,471
Seksualnost,109,9,19,267,89,732,2,1227
Američki_glazbenici,165,10,72,1634,100,410,2,2393
Životopisi,_SAD,143,24,168,4650,126,389,5,5505
Britanski_filmski_umjetnici,12,2,2,186,0,79,3,284
Britanski_glumci,1,3,3,174,86,201,1,469
Animirani_filmovi,59,4,5,72,84,481,1,706
Popisi,29,31,885,11303,128,524,5,12905
Wikipedijini_predlošci,0,59,369,13,221,499,13,1174
Životopisi,_Rusija,76,10,51,635,31,185,3,991
Astrofizika,10,3,3,68,97,214,1,396
Astrometrija,21,1,1,34,59,100,1,217
Planeti,5,2,25,460,140,165,2,799
Građevine,66,41,752,7003,123,522,1,8508
Optički_uređaji,40,3,4,61,70,259,2,439
Kartografija,48,5,543,7137,100,358,1,8192
Politika_Ujedinjenog_Kraljevstva,23,3,10,44,85,133,1,299
Životopisi,_Ujedinjeno_Kraljevstvo,42,13,131,1893,119,209,1,2408
Politika_Italije,9,3,13,106,76,129,2,338
Životopisi,_Italija,95,22,87,1237,132,235,1,1809
Astrobiologija,6,2,4,77,58,130,7,284
Nizozemski_umjetnici,10,6,12,112,61,236,3,440
Belgijski_umjetnici,4,3,8,41,53,135,1,245
Životinjski_proizvodi,3,4,5,77,56,163,1,309
Nogomet_u_Portugalu,6,5,23,270,60,94,5,463
Portugalski_športski_klubovi,12,2,3,66,25,64,2,174
Građevine_u_Portugalu,7,2,2,43,46,108,1,209
Nogometni_stadioni,70,18,18,304,69,725,1,1205
Svemirske_letjelice,53,6,7,199,70,131,1,467
Teleskopi,24,1,1,11,69,139,1,246
Planeti_Sunčevog_sustava,1,8,22,414,88,383,1,917
Zvijezde,31,5,5,94,123,273,1,532
Zemlja,22,3,7,125,156,314,4,631
Mjerne_jedinice,91,6,6,74,121,865,3,1166
Šport_u_Portugalu,5,5,30,320,61,104,5,530
Hidrologija,45,2,4,68,105,261,1,486
U_izradi,_Glazba,191,7,8,1039,79,409,3,1736
Portugalska_nogometna_natjecanja,5,2,2,19,0,43,1,72
Na-Déné,6,3,56,321,40,71,1,498
Macro-Algonquian,1,8,94,680,1,49,1,834
Macro-Arawakan,4,7,20,264,1,36,1,333
Macro-Siouan,1,4,59,275,1,33,3,376
Penutian,15,14,53,313,10,61,1,467
Uto-Aztecan,3,5,43,334,4,44,2,435
Američki_Indijanci,36,56,872,4396,62,440,1,5863
Hokan,15,15,38,194,3,57,1,323
Macro-Ge,14,13,20,116,11,44,0,218
Equatorial,6,9,48,454,1,39,3,560
Gvatemalski_Indijanci,37,1,7,102,6,89,1,243
Indijanci,_Belize,6,1,7,102,3,60,1,180
Maya,5,4,7,102,46,119,1,284
Meksički_Indijanci,78,33,45,293,25,286,1,761
Macro-Cariban,4,3,9,118,1,29,2,166
Fizičari,27,3,20,386,121,370,4,931
Znanost_i_tehnologija_u_Italiji,3,3,14,153,42,124,1,340
Macro-Chibchan,4,13,22,144,1,36,1,221
Pano-Tacanan,0,3,5,67,7,46,0,128
Indijanski_jezici,85,46,402,2536,62,133,2,3266
Andean,5,11,20,171,1,38,6,252
Arawakan,109,7,11,104,11,121,1,364
Macro-Guaycuruan,1,7,9,65,1,36,1,120
Andski_jezici,15,4,9,74,1,43,1,147
Politički_popisi,15,2,6,82,36,168,2,311
Zemljopisni_popisi,21,5,59,962,72,236,1,1356
Ge-Pano-Carib,1,5,53,413,1,41,1,515
Aztec-Tanoan,1,3,55,373,1,24,2,459
Macro-Tucanoan,7,7,15,99,1,34,1,164
Građevine_u_Zagrebu,59,3,5,66,24,611,2,770
Neboderi_u_Hrvatskoj,4,1,1,19,12,126,3,166
Šport_u_Zagrebu,118,7,56,994,30,125,2,1332
Pijanisti,68,1,1,60,81,142,1,354
Povijest_neovisne_Bosne_i_Hercegovine,18,3,24,445,0,157,1,648
Srpska_vojna_povijest,21,7,38,606,28,182,1,883
Velikosrpski_pokret,62,8,29,470,9,357,1,936
Željeznica,4,1,38,531,35,97,6,712
Zemljopis_Srbije,34,11,163,2859,79,198,1,3345
Romani,65,6,13,439,101,421,4,1049
Ruska_umjetnost,17,4,26,315,56,117,6,541
Demografija_Hrvatske,5,3,106,2406,24,269,1,2814
Religija_po_državama,14,65,456,3728,80,279,1,4623
Nagrađeni_filmski_redatelji,0,2,2,74,0,41,1,120
Svitkovci,10,4,4517,44101,102,244,3,48981
Oto-Manguean,7,5,13,54,2,40,0,121
Egzoplaneti,45,1,1,23,66,193,2,331
U_izradi,_Astronomija,8249,5,5,393,67,286,1,9006
Zviježđa,91,76,123,2600,100,209,6,3205
Belgijska_književnost,6,1,1,20,38,84,2,152
Životopisi,_Belgija,25,7,22,208,96,174,2,534
Asteroidi,15,4,5,265,100,165,1,555
Šport_u_Australiji,18,11,22,155,62,188,1,457
Građevinarstvo,80,4,760,7164,64,431,1,8504
Znanstveni_popisi,7,5,34,36,55,167,1,305
Astronomski_popisi,8,1,1,0,43,122,0,175
U_izradi,_Gradovi_u_Europi,41,20,20,612,0,156,4,853
U_izradi,_Hrvatska,0,5,15,6444,36,166,2,6668
Proizvodnja,16,2,674,9163,69,232,1,10157
Gradovi_u_Zadarskoj_županiji,6,5,22,516,10,241,2,802
Turska,34,11,78,876,215,412,5,1631
Egipat,24,10,65,756,186,355,1,1397
Zemljopis_Egipta,20,3,5,49,95,186,2,360
Nizozemski_znanstvenici,11,3,4,26,77,121,2,244
Talijanski_znanstvenici,31,9,10,98,79,209,1,437
Astronomi,60,1,12,196,110,314,3,696
Programska_podrška,131,7,69,584,122,609,1,1523
Boran-Huitotoan,0,2,3,13,1,27,0,46
Sociologija,188,10,39,604,149,735,8,1733
Životopisi,_Švicarska,23,4,19,198,105,207,1,557
Životopisi,_Švedska,27,6,36,413,24,133,1,640
Kemičari,29,3,13,174,108,360,1,688
Bizant,102,27,29,355,92,261,1,867
Geografija_u_Hrvatskoj,7,1,2,53,0,68,1,132
Javna_uprava,11,6,1032,23518,64,267,1,24899
Međunarodni_odnosi,20,8,61,1249,103,244,3,1688
Matematičari_po_državama,0,9,11,197,73,140,1,431
Matematičari,59,2,13,202,137,690,1,1104
Biolozi,19,11,26,271,104,266,1,698
Životopisi,_Nizozemska,21,6,29,299,24,133,3,515
Srpski_znanstvenici,24,3,5,39,46,224,1,342
Životopisi,_Poljska,26,13,46,288,20,151,10,554
Politika_Mađarske,1,1,3,37,62,58,3,165
Životopisi,_Mađarska,29,13,51,927,95,162,4,1281
Skladatelji,92,4,29,603,124,407,2,1261
Španjolski_glazbenici,20,3,3,24,67,212,3,332
Filmski_glumci,61,4,55,2509,64,692,2,3387
Glumci_po_državama,0,44,110,2796,94,186,2,3232
Američka_glazba,2,6,135,2883,80,148,2,3256
Izumitelji,25,2,9,125,104,702,2,969
Znanost_i_tehnologija_u_SAD-u,61,10,32,390,59,206,1,759
U_izradi,_Šport,130,24,94,6462,74,273,7,7064
Životopisi,_Japan,10,7,36,530,106,164,2,855
Američka_umjetnost,5,3,185,5650,64,108,1,6016
Francuska_umjetnost,5,6,39,545,63,141,4,803
Talijanska_umjetnost,5,6,39,556,53,90,1,750
Slikari,50,2,51,881,152,1497,1,2634
Njemačka_umjetnost,5,4,47,643,61,199,1,960
Nizozemska_umjetnost,1,3,22,166,22,62,3,279
Španjolska_umjetnost,8,4,16,133,52,177,7,397
Životopisi,_Španjolska,41,13,45,634,22,138,7,900
Belgijska_umjetnost,4,3,12,72,36,57,2,186
Francuska_glazba,12,2,9,89,66,193,4,375
Arhitekti,33,3,21,385,117,340,1,900
Arhitektura_po_državama,1,14,470,4869,79,118,1,5552
Arhitekti_po_državama,0,12,12,365,71,154,1,615
Arhitektura_u_Italiji,0,2,15,168,55,177,1,418
Redatelji,4,2,3,150,92,113,1,365
Hrvatsko_kazalište,60,6,7,823,18,271,2,1187
Kazališni_glumci_po_državama,0,7,8,918,35,93,2,1063
Kazališni_redatelji,32,1,1,97,53,172,1,357
Pjevači_po_državama,0,34,73,1831,92,632,3,2665
Britanski_glazbenici,70,5,40,642,80,301,3,1141
Britanska_glazba,7,6,65,1083,70,129,3,1363
Britanski_umjetnici,12,7,56,1041,70,96,3,1285
Talijanska_glazba,12,3,17,161,65,249,1,508
Australska_umjetnost,0,3,22,211,42,73,1,352
Životopisi,_Australija,12,5,28,250,101,162,1,559
Australija,32,11,72,695,187,299,1,1297
Ruska_glazba,9,3,12,98,65,206,1,394
Bitke_po_ratovima,0,6,10,245,56,161,3,481
Domovinski_rat,160,16,23,841,26,619,1,1686
Hrvatske_bitke,9,5,5,165,20,770,1,975
Srpske_bitke,11,1,1,80,29,227,8,357
Suvremene_bitke,5,4,8,228,0,45,3,293
Oružje,55,15,57,911,120,556,1,1715
Šport_u_Argentini,4,8,26,267,65,110,1,481
Glazbeni_sastavi,22,4,227,2424,117,395,1,3190
Njemačka_glazba,6,4,30,329,64,135,1,569
Dirigenti,41,1,10,148,77,137,1,415
Američka_filmska_umjetnost,3,3,38,2768,73,136,2,3023
Filmski_redatelji,54,4,24,448,96,191,1,818
Francuska_filmska_umjetnost,5,2,10,107,61,97,4,286
Britanska_filmska_umjetnost,0,3,7,378,59,92,1,540
Talijanska_filmska_umjetnost,2,2,5,114,54,87,1,265
Filmski_scenaristi_po_državama,0,6,6,213,6,59,1,291
Filmski_producenti_po_državama,0,5,5,170,48,93,1,322
Austrijska_glazba,1,2,7,58,56,92,4,220
Tvrtke,47,25,200,2235,134,353,1,2995
Prometna_infrastruktura,10,8,86,842,58,321,2,1327
Zemljopis_Ekvadora,4,2,2,11,78,84,3,184
Periodika,31,6,21,415,20,209,2,704
Hrvatski_tiskani_mediji,53,11,34,543,2,371,1,1015
Filmovi_po_redateljima,0,33,33,322,62,126,5,581
Češki_glazbenici,3,5,5,28,58,137,1,237
Mađarski_umjetnici,10,4,6,59,44,325,2,450
Poljska_književnost,10,1,2,32,60,125,1,231
Poljski_umjetnici,5,4,9,61,53,212,1,345
Sjemenjače,3,2,504,3670,0,167,2,4348
Ecdysozoa,8,2,118,395,24,85,4,636
Morska_biologija,6,2,188,714,46,175,3,1134
Sistematika,111,5,5935,49485,38,249,3,55826
Jezične_porodice,56,30,1114,7613,110,244,6,9173
Nedostaje_infookvir,363,1,1,1,0,175,0,541
Hylocereeae,6,4,4,37,3,62,1,117
Cactoideae,19,4,8,65,13,70,1,180
Afroazijski_narodi,4,2,46,805,16,106,1,980
Stari_narodi_i_civilizacije,107,9,25,343,76,778,4,1342
Uralski_narodi,1,2,12,84,26,107,1,233
Malajsko-polinezijski_narodi,7,7,11,62,0,32,4,123
Altajski_narodi,2,3,3,49,2,103,2,164
Sinotibetski_narodi,3,2,14,47,10,76,7,159
Austroazijski_narodi,2,2,24,128,1,52,1,210
Italski_jezici,3,3,37,221,82,86,7,439
Zemljopis_Španjolske,26,6,56,848,111,193,2,1242
Afrazijski_jezici,9,6,25,476,93,106,1,716
Američki_Indijanci_po_državama,0,30,156,3467,3,188,1,3845
Etničke_grupe_SAD-a,46,3,67,1846,60,279,1,2302
Kaktusovke,7,2,10,85,66,140,1,311
Lophotrochozoa,11,2,15,75,17,64,4,188
Harry_Potter,36,6,9,149,79,236,2,517
Prevoditelji,78,4,6,380,93,196,1,758
Rijeke,13,6,176,1173,192,408,14,1982
Nesamostalni_teritoriji,22,30,150,791,67,185,1,1246
Crna_Gora,36,16,461,3991,139,302,2,4947
Moda,27,5,20,329,101,347,1,830
Tekstilna_industrija,10,1,14,186,51,140,2,404
Zemljopis_Ujedinjenog_Kraljevstva,8,8,57,306,101,144,2,626
Škotska,34,4,28,276,128,204,1,675
Gradovi_u_Ujedinjenom_Kraljevstvu,13,4,9,117,108,194,2,447
Naselja_u_Škotskoj,3,1,1,12,45,51,8,121
Nagrađeni_znanstvenici,0,4,8,402,0,54,4,472
Nagrađene_osobe,0,9,95,2313,62,139,2,2620
Politički_aktivisti,44,3,6,122,11,138,3,327
Ekonomisti,36,5,6,127,107,319,2,602
Primati,6,2,4066,41651,103,206,3,46037
Haplorrhini,4,5,4064,41640,23,86,3,45825
Politika_Srbije,19,5,48,634,56,135,1,898
Pravo,179,23,66,3204,166,822,3,4463
Građansko_pravo,21,3,7,119,67,243,2,462
Danska,16,13,67,558,179,296,1,1130
Otoci_Atlantskog_oceana,49,7,125,2163,81,640,1,3066
Otoci_u_Arktičkom_oceanu,19,1,28,134,56,120,1,359
Nogometaši,77,6,447,3216,118,1990,2,5856
U_izradi,_Nogomet,380,3,33,1921,49,291,2,2679
U_izradi,_Športaši,132,12,45,2115,1,118,2,2425
Portugal,16,11,59,493,185,276,5,1045
Parkovi_prirode,3,1,2,24,26,75,1,132
Shastan,2,2,5,32,6,39,1,87
Kriminal,66,9,28,395,98,488,1,1085
Reprezentacije,1,11,86,1377,55,111,2,1643
Željeznički_promet,32,9,37,513,82,315,6,994
Natjecanja_po_športovima,0,32,650,4598,42,101,2,5425
Vaterpolo,9,7,111,1051,55,123,6,1362
Šport_u_Njemačkoj,20,18,82,950,75,294,2,1441
Odbojka,6,8,29,292,84,158,1,578
Nogometna_natjecanja,4,2,382,1217,74,386,2,2067
Nacionalna_športska_natjecanja,25,7,469,1622,1,74,2,2200
Šport_u_Ujedinjenom_Kraljevstvu,15,15,96,984,67,274,2,1453
Britanski_športski_klubovi,4,2,9,77,27,60,1,180
Nogomet_u_Ujedinjenom_Kraljevstvu,5,6,60,681,58,92,2,904
Nogometni_klubovi,91,5,262,4191,107,2243,1,6900
Nogomet_u_Argentini,7,4,11,93,65,112,1,293
Lacrosse,5,1,1,8,32,99,0,146
Španjolski_vladari,35,7,7,96,79,172,1,397
Jugoslavija,28,6,323,2575,90,367,2,3391
Kraljevina_Jugoslavija,7,7,40,882,24,176,1,1137
Jugoslavija_u_Drugom_svjetskom_ratu,48,10,53,1080,27,350,1,1569
Povijesne_vojne_postrojbe,24,8,15,494,16,288,1,846
Organski_spojevi,25,7,30,412,77,209,1,761
Zemljopis_Turske,40,6,11,92,102,182,2,435
Sveto_Rimsko_Carstvo,44,2,2,55,93,176,10,382
Catuquinean-Tucanoan,8,3,5,26,1,37,0,80
Putopisci,32,1,3,122,37,189,1,385
Zemljopis_Belgije,20,3,5,70,83,146,1,328
Naselja_u_Crnoj_Gori,16,3,11,270,58,256,5,619
Zemljopis_Crne_Gore,10,9,21,350,72,153,2,617
Zemljopis_Izraela,15,2,6,40,90,163,1,317
Nogomet_u_Srbiji,6,7,211,451,55,121,1,852
Srpski_športaši,21,7,13,287,62,145,2,537
Šport_u_Srbiji,21,13,239,769,60,77,1,1180
Stadioni,29,3,21,382,71,182,1,689
Filmski_serijali,6,5,5,87,56,210,1,370
Indoiranski_narodi,7,3,19,223,18,125,3,398
Atlantski_ocean,48,7,246,5027,110,164,1,5603
Mora,43,9,204,4756,163,333,1,5509
Hrvatski_svećenici,58,1,5,782,20,271,1,1138
Katolički_svećenici_po_državama,0,12,34,1011,26,151,1,1235
Kršćanstvo_u_Hrvatskoj,17,10,77,1727,26,99,1,1957
Svećenici,31,6,85,1777,48,242,1,2190
Povijest_1945.-1989.,13,4,56,1172,0,58,1,1304
Popisi_osoba,32,13,74,93,62,547,2,823
Športaši_po_državama,0,103,548,9172,73,315,2,10213
Njemački_športaši,21,13,18,347,80,560,1,1040
Nogomet_u_Njemačkoj,18,7,41,551,71,206,2,896
Sjeverna_Makedonija,26,12,417,3556,129,76,4,4220
Katoličanstvo_po_državama,17,61,235,2833,25,138,1,3310
Kršćanski_vjerski_objekti,12,7,119,803,36,261,2,1240
Veslanje,17,4,13,109,53,137,1,334
Bosanskohercegovački_športski_klubovi,18,5,56,598,22,38,1,738
Nogomet_u_Bosni_i_Hercegovini,7,9,267,845,47,116,10,1301
Šport_u_Bosni_i_Hercegovini,19,11,321,1109,52,100,1,1613
Borilačke_vještine_i_športovi,53,10,51,488,87,325,6,1020
Enciklopedistika,37,4,9,192,113,317,1,673
Elektronika,81,3,3,23,115,550,5,780
Gospodarstvo_Francuske,5,3,18,120,65,123,3,337
Promet_po_državama,21,26,162,1386,88,143,3,1829
Građevine_u_Hrvatskoj,16,23,140,1779,46,478,7,2489
Hrvatska_kulturna_baština,112,13,78,1061,1,358,2,1625
Muzeji_po_državama,0,10,36,321,76,112,1,556
Hrvatska_nogometna_natjecanja,4,12,211,453,0,104,2,786
Gorja,58,6,6,92,93,194,3,452
Semitski_narodi,15,6,39,755,51,317,1,1184
Diplomacija,44,2,14,293,98,277,1,729
Športski_suci,5,3,8,382,43,56,1,498
Šport_u_Italiji,17,13,79,920,72,211,2,1314
Nogomet_u_Ukrajini,4,5,13,93,51,98,3,267
Ukrajinski_športaši,15,5,7,50,62,95,1,235
Vjerski_objekti,7,8,164,1116,22,419,1,1737
Naselja_po_državama,0,17,340,17296,85,162,3,17903
Jezera_po_državama,0,43,62,486,85,140,1,817
Jezera_u_Europi,1,27,44,383,83,310,1,849
Švicarska,18,15,80,666,177,334,2,1292
Zemljopis_Škotske,11,3,4,21,74,132,1,246
Gospodarstvo_Rusije,5,3,27,163,69,146,1,414
Jugoslavenski_komunisti,0,7,17,374,21,113,1,533
Albanija,26,11,35,310,163,561,8,1114
Bugarska,30,12,69,773,176,365,4,1429
Šport_u_Rusiji,8,12,50,493,69,131,3,766
Jordan,11,6,9,83,142,183,1,435
Povijest_Iraka,8,5,14,178,89,117,6,417
Povijest_Izraela,82,4,6,82,85,318,2,579
Povijest_Libanona,8,5,10,58,66,152,1,300
Povijest_Sirije,19,2,3,62,80,125,1,292
Povijest_od_1989.,6,3,101,2385,0,50,1,2546
Kineske_pokrajine,31,5,14,97,45,194,12,398
Zemljopis_Kine,38,7,21,209,97,155,1,528
Muzeologija,23,4,72,1016,55,132,1,1303
Šport_u_Ukrajini,8,7,24,148,57,114,3,361
Šport_u_Poljskoj,6,10,35,158,64,222,1,496
Vrijeme,9,4,975,33718,178,351,7,35242
Nogomet_u_Italiji,30,6,47,574,73,199,2,931
Talijanski_športaši,24,11,13,271,78,594,1,992
Etničke_grupe_Brazila,8,1,1,553,38,106,1,708
Etničke_grupe_Kanade,13,3,23,527,49,139,1,755
Etničke_grupe_Meksika,4,1,46,361,43,86,1,542
Nagrade_wikipedista,0,1,1,0,0,61,0,63
Wikipedisti,0,11,16,1,128,517,0,673
Etnički_popisi,2,4,662,9833,12,97,5,10615
Mlijeko_i_mliječni_proizvodi,9,1,1,21,95,249,1,377
Etničke_grupe_po_državama,0,206,629,9833,71,586,5,11330
Indija,44,10,52,681,201,344,1,1333
Demografija_Bosne_i_Hercegovine,18,6,94,2147,23,500,1,2789
Zemljopis_Poljske,17,6,27,234,101,136,7,528
Akademija,2,1,7,287,84,88,1,470
Ustanove,14,6,42,734,2,130,1,929
Kina,47,13,97,1143,206,407,1,1914
Uzbekistan,14,5,48,787,135,158,3,1150
Kazahstan,10,8,66,927,150,423,1,1585
Brazil,20,16,80,1284,216,298,3,1917
Bjelorusija,28,10,71,980,165,363,1,1618
Meksiko,36,11,90,822,179,180,1,1319
Šport_u_Iranu,3,3,8,55,57,75,0,201
Nogomet_u_Iranu,4,3,4,46,45,68,0,170
Građevine_u_Iranu,13,7,7,100,46,85,1,259
Ceste,14,3,15,253,76,183,1,545
Totalitarizam,9,3,62,1134,30,140,1,1379
Francuski_športaši,10,10,13,276,77,372,1,759
Nogomet_u_Francuskoj,19,5,28,357,67,129,1,606
Etničke_grupe_Kolumbije,1,1,1,109,27,71,1,211
Etničke_grupe_Venezuele,5,1,1,77,0,63,2,149
Etničke_grupe_Argentine,6,2,3,181,37,119,1,349
Argentina,23,11,60,594,183,261,1,1133
Etničke_grupe_Čilea,1,2,2,158,32,90,1,286
Čile,22,11,36,354,220,189,1,833
Etničke_grupe_Perua,0,2,2,143,34,69,1,251
Peru,13,8,13,265,155,171,1,626
Etničke_grupe_Bolivije,1,2,2,73,31,68,2,179
Bolivija,7,6,11,145,149,163,2,483
Etničke_grupe_Paragvaja,1,2,2,30,26,63,2,126
